-14	75	60	34	-25	86	83	70	24	-99	98	-62	-15	-55	79	60	-14	32	-60	57	36	95	-74	12	59	-23
25	-83	87	45	-67	80	-69	-19	-14	54	54	-95	98	-3	63	49	43	-62	35	-7	25	53	53	82	-19	48
-85	11	46	-8	71	34	-71	48	9	87	55	-99	96	18	59	-50	36	-13	-25	-39	45	-91	-76	54	52	19
28	-39	48	53	53	-90	-43	47	-86	-3	-53	-36	-79	-71	22	-54	57	83	86	-47	-57	42	-68	-55	-31	44
-4	12	-5	-49	-86	-39	93	-13	89	17	-27	48	65	-26	65	-49	31	-27	-56	20	45	-4	97	66	-67	74
-21	-83	20	-78	90	45	-54	93	90	-82	-63	-74	-36	22	41	5	33	-75	12	-40	94	43	-80	50	-62	61
82	-99	6	-20	-24	99	33	-29	-78	4	68	-64	96	79	32	-33	-93	-70	97	-47	88	-52	91	51	-4	-27
-87	-38	41	73	9	2	-74	-69	-49	8	-50	-33	-18	-43	-91	89	9	88	-83	-90	-73	61	84	92	42	-26
-75	-69	-42	-15	-31	86	28	-28	25	-76	-46	-45	25	-46	-35	68	-69	-48	58	65	-61	42	-27	-3	-9	71
93	22	28	-71	17	55	-86	15	-43	-49	-68	-4	-5	54	-53	-7	-82	13	68	-51	44	-5	92	-85	-75	10
91	76	-12	97	100	67	-18	40	52	-3	94	-13	20	37	85	88	44	-91	-43	-22	57	-86	-69	38	-98	-55
-73	-14	14	52	-28	-45	86	80	-70	64	61	-58	99	30	-43	40	82	87	-86	8	9	-91	-61	34	59	-61
-100	98	-19	26	-31	-53	93	-6	-54	-12	18	0	-73	-51	7	8	38	94	28	-3	56	68	87	-26	65	17
-73	-92	-90	89	-41	-38	33	26	-52	-65	-83	-47	13	64	65	83	98	76	-11	14	-20	-52	76	68	23	-72
9	41	80	-33	95	51	60	-44	70	-13	-56	-16	33	10	-68	15	-45	85	-17	57	-62	14	-75	62	41	-31
71	-40	54	-56	46	57	-41	-28	-12	-59	95	-35	91	96	34	-22	84	10	86	-26	20	-46	59	-37	-27	43
-6	-4	62	34	-19	42	-96	-36	-83	-44	69	-75	3	8	-18	62	-85	18	-54	-27	66	-9	60	-52	10	-6
31	70	68	-16	97	-3	98	-80	-62	82	5	-52	-98	-65	-80	7	11	14	-28	100	29	89	-79	-16	60	14
-26	-89	49	-89	22	56	40	69	-83	-96	-81	10	46	-51	99	75	-51	-63	-16	-38	-76	-33	67	23	12	69
-81	65	14	43	99	-50	20	95	-85	-36	91	-33	-69	48	22	17	72	-46	-40	-92	25	70	-85	-90	61	81
